epoch,total_epochs,train_loss,val_loss,train_acc,val_acc,lr,elapsed
1,60,2.690777000258951,6.840118330578472,16.015625,3.6225402504472273,0.0007994524991344523,98.63956809043884
2,60,2.3551689246121574,2.421643532239474,27.527573529411764,26.744186046511626,0.0007978114971996253,11.008482456207275
3,60,2.2223915843402637,2.073038854411335,32.8125,37.65652951699464,0.0007950814920677576,11.2541344165802
4,60,2.110810335944681,1.9743012068310022,36.90257352941176,40.921288014311266,0.0007912699664931555,10.806231260299683
5,60,2.005436560686897,1.9813988972222016,40.176930147058826,38.864042933810374,0.0007863873676024829,11.013314008712769
6,60,1.925923435127034,1.7982729652060165,43.18704044117647,48.74776386404293,0.000780447078259914,11.537257432937622
7,60,1.8328058859881233,1.7293841346218675,46.587775735294116,52.23613595706619,0.0007734653803856323,11.369154930114746
8,60,1.7616852381650139,1.6440413211454006,49.919577205882355,55.008944543828264,0.0007654614103282193,11.647453546524048
9,60,1.7063936415840597,1.6795548273113845,51.73483455882353,55.635062611806795,0.0007564571064132532,12.208808422088623
10,60,1.6447421522701489,1.5075290473927752,54.04411764705882,60.46511627906976,0.0007464771488118836,12.631926536560059
11,60,1.603229705025168,1.5331810821574148,56.02022058823529,58.98926654740608,0.0007355488918941971,12.622721910476685
12,60,1.5323424023740433,1.4809517868942779,58.59375,60.688729874776385,0.0007237022892527918,12.783708095550537
13,60,1.4778355850892908,1.4359432228562656,60.47794117647059,62.298747763864036,0.0007109698116020602,12.09684419631958
14,60,1.424995110315435,1.406964086036136,62.27022058823529,62.7906976744186,0.0006973863577782193,12.288362979888916
15,60,1.38707115019069,1.4766311472771632,63.91314338235294,60.28622540250447,0.0006829891590840261,12.108197450637817
16,60,1.3347947281949661,1.1870555506622642,65.94669117647058,73.52415026833631,0.0006678176772403641,12.376303672790527
17,60,1.2972805535092073,1.245195897192776,66.9921875,70.39355992844365,0.0006519134962244103,12.312462329864502
18,60,1.2506989626323475,1.075334175754745,69.31295955882352,75.89445438282647,0.0006353202082908431,13.108027458190918
19,60,1.2138758231611813,1.0722527491172014,70.81801470588235,75.0,0.0006180832944885034,12.071645259857178
20,60,1.1883210084017586,1.1198396631558167,71.88648897058823,74.86583184257603,0.0006002500000000001,12.135299921035767
21,60,1.1377329019939197,1.0669268216131411,73.88556985294117,76.25223613595706,0.000581869204645949,11.849406003952026
22,60,1.09736389447661,0.9671256286300359,74.75873161764706,79.74060822898032,0.0005629912889087823,12.014469623565674
23,60,1.0742767593439888,1.0770177790005433,75.85018382352942,74.73166368515206,0.0005436679958433476,11.879027843475342
24,60,1.0384850063744713,0.9743288766079597,77.45863970588235,79.91949910554563,0.0005239522892527916,11.905576229095459
25,60,1.021093875169754,0.8943194293805227,77.83777573529412,84.07871198568873,0.0005038982085184571,12.010368585586548
26,60,0.9972379645880531,0.895969402811395,78.80284926470588,83.89982110912342,0.0004835607204816948,12.017147541046143
27,60,0.976502784911324,0.8590717526795826,79.74494485294117,84.43649373881932,0.0004629955687835723,11.994295358657837
28,60,0.9454657540601843,0.8405709473519505,81.06617647058823,85.28622540250447,0.0004422591210754276,12.061182260513306
29,60,0.9314913819817936,0.8173918505474151,81.56020220588235,87.11985688729875,0.000421408214519056,11.95495319366455
30,60,0.9178111938869252,0.8089138409106165,81.98529411764706,86.71735241502684,0.0004005000000000001,11.957355260848999
31,60,0.8831909772227792,0.7722063589181372,83.54779411764706,88.99821109123435,0.000379591785480944,11.992112159729004
32,60,0.8639390538720524,0.7404833092672454,84.51286764705883,88.5509838998211,0.0003587408789245725,12.023356676101685
33,60,0.8369392787708956,0.7388087371380896,85.546875,89.6690518783542,0.0003380044312164278,12.026095151901245
34,60,0.8316292394610012,0.742269827449471,85.94898897058823,89.04293381037567,0.00031743927951830513,12.021129608154297
35,60,0.8157637522501104,0.7619636233676098,86.12132352941177,88.81932021466905,0.00029710179148154304,11.904952049255371
36,60,0.8031655216918272,0.708062019885546,86.96001838235294,90.92128801431127,0.0002770477107472086,12.184674978256226
37,60,0.7840347833493176,0.6927813212645502,87.43106617647058,91.23434704830053,0.0002573320041566526,11.951582193374634
38,60,0.7787414350930382,0.6907357005185859,87.90211397058823,91.54740608228981,0.00023800871109121784,11.82317304611206
39,60,0.7617653327829698,0.6990018037009538,88.72931985294117,90.25044722719142,0.0002191307953540511,11.967761278152466
40,60,0.7539832732256722,0.6679121597081903,89.03952205882352,92.35241502683364,0.0002007500000000001,11.845259189605713
41,60,0.7485270780675551,0.6784397939449985,89.2578125,91.81574239713774,0.00018291670551149683,10.451112508773804
42,60,0.7323386090643266,0.6461648444156953,89.61397058823529,92.93381037567084,0.00016567979170915707,9.866114616394043
43,60,0.7158160437555874,0.6546870638518086,90.68244485294117,92.62075134168157,0.00014908650377559005,9.807862043380737
44,60,0.7158248932922587,0.65151279407665,90.39522058823529,92.84436493738819,0.00013318232275963632,10.992472648620605
45,60,0.7067124159897075,0.646799771644988,90.67095588235294,92.71019677996422,0.00011801084091597434,11.975870370864868
46,60,0.7022832263918484,0.6346108879300904,91.24540441176471,93.29159212880143,0.00010361364222178108,12.219782829284668
47,60,0.6914922630085665,0.6315143625510187,91.24540441176471,93.4257602862254,9.003018839794016e-05,12.01384162902832
48,60,0.6842105581479914,0.6329691555077787,91.67049632352942,93.69409660107334,7.729771074720855e-05,12.415497064590454
49,60,0.68354291249724,0.6337439525532594,91.76240808823529,93.2468694096601,6.545110810580314e-05,12.60279631614685
50,60,0.6834011463557973,0.6373350560558503,92.30238970588235,93.38103756708408,5.452285118811674e-05,11.821062326431274
51,60,0.6731003715711481,0.619751903366744,92.1875,94.05187835420394,4.454289358674707e-05,12.015937805175781
52,60,0.6702569705598495,0.6172636446671323,92.47472426470588,94.27549194991055,3.553858967178091e-05,11.887937068939209
53,60,0.6666877690483543,0.618532680015018,92.52068014705883,94.14132379248659,2.7534619614367905e-05,12.120675325393677
54,60,0.6692924219019273,0.6236695490497596,92.40579044117648,93.87298747763863,2.0552921740086166e-05,12.162940740585327
55,60,0.6617429799893323,0.617547122331766,92.48621323529412,94.14132379248659,1.4612632397517211e-05,12.143562316894531
56,60,0.6587893577182994,0.6153260835168187,93.10661764705883,94.45438282647585,9.73003350684463e-06,12.312321424484253
57,60,0.658798485994339,0.6145402886146722,92.63556985294117,94.32021466905188,5.918507932242505e-06,12.167686939239502
58,60,0.6637000020812539,0.6157284888683789,92.42876838235294,94.27549194991055,3.1885028003747765e-06,12.14322280883789
59,60,0.6556949615478516,0.6154423329399396,93.03768382352942,94.27549194991055,1.5475008655477538e-06,12.04101037979126
60,60,0.659663703511743,0.6151715568225158,93.06066176470588,94.09660107334525,1e-06,11.611814260482788
